"BestMatchID"	"File_Name"	"BestMatchScore"	"OrigMetaID"	"Cluster"	"CellType"	"fov"	"Slide_celltype_fov"
"T1_b_g3_PDAC-Cancer_8"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g3_PDAC-Cancer_8"	"T1_b_g3"	"PDAC-Cancer"	"T1_b_8"	"T1_b_PDAC-Cancer_T1_b_8"
"T1_b_g3_PDAC-Cancer_9"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g3_PDAC-Cancer_9"	"T1_b_g3"	"PDAC-Cancer"	"T1_b_9"	"T1_b_PDAC-Cancer_T1_b_9"
"T1_b_g3_PDAC-Cancer_10"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g3_PDAC-Cancer_10"	"T1_b_g3"	"PDAC-Cancer"	"T1_b_10"	"T1_b_PDAC-Cancer_T1_b_10"
"T1_b_g3_PDAC-Cancer_11"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g3_PDAC-Cancer_11"	"T1_b_g3"	"PDAC-Cancer"	"T1_b_11"	"T1_b_PDAC-Cancer_T1_b_11"
"T1_b_g3_PDAC-Cancer_12"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g3_PDAC-Cancer_12"	"T1_b_g3"	"PDAC-Cancer"	"T1_b_12"	"T1_b_PDAC-Cancer_T1_b_12"
"T1_b_g3_PDAC-Cancer_13"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g3_PDAC-Cancer_13"	"T1_b_g3"	"PDAC-Cancer"	"T1_b_13"	"T1_b_PDAC-Cancer_T1_b_13"
"T1_b_g3_PDAC-Cancer_14"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g3_PDAC-Cancer_14"	"T1_b_g3"	"PDAC-Cancer"	"T1_b_14"	"T1_b_PDAC-Cancer_T1_b_14"
"T1_b_g3_PDAC-Cancer_15"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g3_PDAC-Cancer_15"	"T1_b_g3"	"PDAC-Cancer"	"T1_b_15"	"T1_b_PDAC-Cancer_T1_b_15"
"T1_b_g3_PDAC-Cancer_17"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g3_PDAC-Cancer_17"	"T1_b_g3"	"PDAC-Cancer"	"T1_b_17"	"T1_b_PDAC-Cancer_T1_b_17"
"T1_b_g3_PDAC-Cancer_21"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g3_PDAC-Cancer_21"	"T1_b_g3"	"PDAC-Cancer"	"T1_b_21"	"T1_b_PDAC-Cancer_T1_b_21"
"T1_b_g3_PDAC-Cancer_22"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g3_PDAC-Cancer_22"	"T1_b_g3"	"PDAC-Cancer"	"T1_b_22"	"T1_b_PDAC-Cancer_T1_b_22"
"T1_b_g4_Stroma_1"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g4_Stroma_1"	"T1_b_g4"	"Stroma"	"T1_b_1"	"T1_b_Stroma_T1_b_1"
"T1_b_g4_Stroma_2"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g4_Stroma_2"	"T1_b_g4"	"Stroma"	"T1_b_2"	"T1_b_Stroma_T1_b_2"
"T1_b_g4_Stroma_3"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g4_Stroma_3"	"T1_b_g4"	"Stroma"	"T1_b_3"	"T1_b_Stroma_T1_b_3"
"T1_b_g4_Stroma_4"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g4_Stroma_4"	"T1_b_g4"	"Stroma"	"T1_b_4"	"T1_b_Stroma_T1_b_4"
"T1_b_g4_Stroma_5"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g4_Stroma_5"	"T1_b_g4"	"Stroma"	"T1_b_5"	"T1_b_Stroma_T1_b_5"
"T1_b_g4_Stroma_6"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g4_Stroma_6"	"T1_b_g4"	"Stroma"	"T1_b_6"	"T1_b_Stroma_T1_b_6"
"T1_b_g4_Stroma_7"	"PDAC_PseudoBulk_Slide_T1_b_metatable.txt"	1	"T1_b_g4_Stroma_7"	"T1_b_g4"	"Stroma"	"T1_b_7"	"T1_b_Stroma_T1_b_7"
